id,nombre,category_real
12173,1 DOUBLE BED DELUXE VILLAGE VIEW NON SMOKING,DELUXE ROOM
12199,1 DOUBLE BED PREMIUM LATERAL OCEAN VIEW NON SMOKING,PREMIUM ROOM
12290,1 DOUBLE BED PREMIUM OCEAN FRONT HIGH FLOOR/NON SMOKING,PREMIUM ROOM
12260,1 DOUBLE BED PREMIUM OCEAN VIEW JUNIOR SUITE NON SMOKING,JUNIOR SUITE
11479,1 DOUBLE BED STANDARD,DOUBLE ROOM
14171,1 DOUBLE BED STANDARD    NO REEMBOLSABLE,DOUBLE ROOM
12143,1 DOUBLE BED STANDARD CITY VIEW,DOUBLE ROOM
11494,1 DOUBLE BED STANDARD SINGLE SOFA BED,DOUBLE ROOM
12119,1 DOUBLE BED STANDARD SMOKING,DOUBLE ROOM
14169,1 DOUBLE BED STANDARD SMOKING    NO REEMBOLSABLE,DOUBLE ROOM
14174,1 DOUBLE BED STANDARD SMOKING   TARIFA EMPAQUETADA    NO REEMBOLSABLE,DOUBLE ROOM
12149,1 DOUBLE BED STANDARD SOFA BED,DOUBLE ROOM
11903,1 DOUBLE BED STANDARD WITH SOFA BED,DOUBLE ROOM
11415,1 DOUBLE STANDARD,DOUBLE ROOM
14376,1 DOUBLE STANDARD    NO REEMBOLSABLE,DOUBLE ROOM
1298,1 DOUBLE STANDARD ACCESSIBLE,DOUBLE ROOM
1300,1 DOUBLE STANDARD SINGLE SOFA BED,DOUBLE ROOM
1299,1 DOUBLE STANDARD SOFA BED,DOUBLE ROOM
14377,1 DOUBLE STANDARD SOFA BED    NO REEMBOLSABLE,DOUBLE ROOM
11360,1 KING  JUNIOR SUITE PARK VIEW,JUNIOR SUITE
11594,1 KING BED 1 BEDROOM SUITE SOFA BED,SUITE
16895,1 KING BED JUNIOR SUITE NON SMOKING,JUNIOR SUITE
16919,1 KING BED JUNIOR SUITE NON SMOKING   TARIFA EMPAQUETADA,JUNIOR SUITE
16905,1 KING BED JUNIOR SUITE NON SMOKING + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,JUNIOR SUITE
16888,1 KING BED NON SMOKING,STANDARD ROOM
16917,1 KING BED NON SMOKING   TARIFA EMPAQUETADA,STANDARD ROOM
16899,1 KING BED NON SMOKING + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,STANDARD ROOM
16778,1 KING BED ROOM,STANDARD ROOM
11523,1 KING BED STANDARD,STANDARD ROOM
12238,1 KING BED SUITE,SUITE
12265,1 KING BED SUITE RIVER VIEW NON SMOKING,SUITE
15416,"1 KING BED, SUITE, RIVER VIEW, NON SMOKING",SUITE
12650,1 KING CLASSIC OCEAN VIEW,CLASSIC ROOM
12737,1 KING JUNIOR SUITE OCEAN VIEW,JUNIOR SUITE
12472,1 KING JUNIOR SUITE PARK VIEW,JUNIOR SUITE
547,1 KING PREMIUM,PREMIUM ROOM
545,1 KING PREMIUM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,PREMIUM ROOM
11021,1 KING PREMIUM BALCONY,PREMIUM ROOM
14176,1 KING PREMIUM BALCONY    NO REEMBOLSABLE,PREMIUM ROOM
12136,1 KING PREMIUM BALCONY + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,PREMIUM ROOM
11034,1 KING PREMIUM BALCONY SEA VIEW,PREMIUM ROOM
12146,1 KING PREMIUM BALCONY SEA VIEW + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,PREMIUM ROOM
11022,1 KING PREMIUM INTERIOR,PREMIUM ROOM
14178,1 KING PREMIUM INTERIOR    NO REEMBOLSABLE,PREMIUM ROOM
12139,1 KING PREMIUM INTERIOR + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,PREMIUM ROOM
14768,1 MURPHY BED  DELUXE  FAMILY ROOM  NON SMOKING   SINGLE OCCUPANCY   FULL BOARD INCLUDED,FAMILY ROOM
11213,1 MURPHY BED  DELUXE  FAMILY ROOM  NONSMOKING,FAMILY ROOM
11172,1 MURPHY BED  DELUXE FAMILY ROOM  NONSMOKING,FAMILY ROOM
12261,1 MURPHY BED DELUXE FAMILY ROOM NON SMOKING,FAMILY ROOM
14072,1 PERSON IN 4 BED DORMITORY   MIXED,STANDARD ROOM
14071,1 PERSON IN 8 BED DORMITORY   MIXED,STANDARD ROOM
12302,1 QN BED PREMIUM OCEAN VIEW SUITE NON SMOKING,SUITE
11386,1 QUEEN 2 TWIN PREMIUM,PREMIUM ROOM
11223,1 QUEEN BED  PREMIUM OCEAN VIEW SUITE  NONSMOKING,SUITE
454,1 QUEEN BED STANDARD,STANDARD ROOM
14594,1 QUEEN BED STANDARD    NO REEMBOLSABLE,STANDARD ROOM
483,1 QUEEN CLASSIC,CLASSIC ROOM
476,1 QUEEN CLASSIC    NO REEMBOLSABLE,CLASSIC ROOM
11338,1 QUEEN CLASSIC BALCONY,CLASSIC ROOM
11253,1 QUEEN CLASSIC CITY VIEW,CLASSIC ROOM
14273,1 QUEEN CLASSIC CITY VIEW    NO REEMBOLSABLE,CLASSIC ROOM
11280,1 QUEEN CLASSIC RIVER VIEW,CLASSIC ROOM
540,1 QUEEN STANDARD,STANDARD ROOM
537,1 QUEEN STANDARD + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,STANDARD ROOM
5345,13 días Ponferrada - Santiago de Compostela,SUITE
2095,2 ADULTS+1CHILD,STANDARD ROOM
14125,2 BEDROOM APARTMENT WITH TERRACE NON REFUNDABLE,APARTMENT
14045,2 BEDROOM FAMILY APARTMENT,FAMILY ROOM
11244,2 BEDROOM SUITE,SUITE
12322,2 BEDROOM SUITE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,SUITE
11284,2 BEDROOM SUITE SEA VIEW,SUITE
12379,2 BEDROOM SUITE SEA VIEW + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,SUITE
14067,2 BEDROOMS PREMIUM SINGLE SUITE,SUITE
14109,2 BEDROOMS SINGLE APARTMENT WITH RIVER VIEW,APARTMENT
682,2 CONNECTINGROOMS FAMILYROOM,FAMILY ROOM
14977,2 DOUBLE BEDS,DOUBLE ROOM
16779,2 DOUBLE BEDS ROOM,DOUBLE ROOM
12208,2 DOUBLE BEDS STANDARD,DOUBLE ROOM
12196,2 DOUBLE BEDS STANDARD CITY VIEW,DOUBLE ROOM
1099,2 DREAMER DOUBLE ROOM (MI   QUEN),DOUBLE ROOM
3103,2 noches Viernes,STANDARD ROOM
16906,2 QUEEN BEDS DELUXE FAMILY ROOM CITY VIEW NON SMOKING,FAMILY ROOM
16902,2 QUEEN BEDS MOBILITY ACCESSIBLE ROOM NON SMOKING,STANDARD ROOM
16901,2 QUEEN BEDS MOBILITY ACCESSIBLE ROOM NON SMOKING + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,STANDARD ROOM
16889,2 QUEEN BEDS NON SMOKING,STANDARD ROOM
16918,2 QUEEN BEDS NON SMOKING   TARIFA EMPAQUETADA,STANDARD ROOM
11477,2 SINGLE BEDS STANDARD,STANDARD ROOM
14381,2 SINGLE BEDS STANDARD    NO REEMBOLSABLE,STANDARD ROOM
1264,2 SINGLE STANDARD,STANDARD ROOM
14375,2 SINGLE STANDARD    NO REEMBOLSABLE,STANDARD ROOM
1437,2 SUPERIOR ROOM (MI   DQUE),SUPERIOR ROOM
11109,2 TWIN BEDS  ACCESSIBLE  NONSMOKING,STANDARD ROOM
11078,2 TWIN BEDS  DELUXE VILLAGE VIEW  NONSMOKING,DELUXE ROOM
11108,2 TWIN BEDS  PREMIUM LATERAL OCEAN VIEW  NON SMOKING,PREMIUM ROOM
11127,2 TWIN BEDS  PREMIUM OCEAN FRONT  NONSMOKING,PREMIUM ROOM
12200,2 TWIN BEDS ACCESSIBLE NON SMOKING,STANDARD ROOM
12172,2 TWIN BEDS DELUXE VILLAGE VIEW NON SMOKING,DELUXE ROOM
12201,2 TWIN BEDS PREMIUM LATERAL OCEAN VIEW NON SMOKING,PREMIUM ROOM
12289,2 TWIN BEDS PREMIUM OCEAN FRONT HIGH FLOOR NON SMOKING,PREMIUM ROOM
12223,2 TWIN BEDS PREMIUM OCEAN FRONT NON SMOKING,PREMIUM ROOM
453,2 TWIN BEDS STANDARD,STANDARD ROOM
11515,2 TWIN BEDS STANDARD SINGLE SOFA BED,STANDARD ROOM
13513,2 TWIN BEDS SUPERIOR ROOM RIVER VIEW NON SMOKING,SUPERIOR ROOM
15392,"2 TWIN BEDS, SUPERIOR ROOM, RIVER VIEW, NON SMOKING",SUPERIOR ROOM
484,2 TWIN CLASSIC,CLASSIC ROOM
477,2 TWIN CLASSIC    NO REEMBOLSABLE,CLASSIC ROOM
11283,2 TWIN CLASSIC RIVER VIEW,CLASSIC ROOM
502,2 TWIN DELUXE,DELUXE ROOM
12716,2 TWIN PREMIUM OCEAN VIEW,PREMIUM ROOM
11464,2 TWIN STANDARD,STANDARD ROOM
14380,2 TWIN STANDARD    NO REEMBOLSABLE,STANDARD ROOM
11012,2 TWIN STANDARD SEA VIEW BALCONY,STANDARD ROOM
14173,2 TWIN STANDARD SEA VIEW BALCONY    NO REEMBOLSABLE,STANDARD ROOM
14179,2 TWIN STANDARD SEA VIEW BALCONY   TARIFA EMPAQUETADA    NO REEMBOLSABLE,STANDARD ROOM
12126,2 TWIN STANDARD SEA VIEW BALCONY + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,STANDARD ROOM
1634,2AD+1CHILD ATIC,STANDARD ROOM
14124,3 BEDROOM APARTMENT UPPER FL. NON REFUNDABLE,APARTMENT
14113,3 BEDROOMS APARTMENT,APARTMENT
1105,3 SUPERIOR TRIPLE ROOM (MI   DSUN),SUPERIOR ROOM
4465,36 dias San Sebastian-Santiago de Compostela 2025,SUITE
1106,4 DELUXE ROOM (MI   DKNG),DELUXE ROOM
2806,5 JUNIOR SUITE (MI   JSTE),JUNIOR SUITE
3121,5 noches (Domingo),STANDARD ROOM
14521,501 BY LOVELYSTAY,STANDARD ROOM
12793,6 BED FEMALE COMMUNITY DORM WITH SHARED BATHROOM,SHARED ROOM
3340,ADULT EXTRA BED,STANDARD ROOM
11258,ALFAMA PROMO,FAMILY ROOM
11329,ALFAMA ROOM,FAMILY ROOM
15871,ALFAMA ROOM 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 36%,FAMILY ROOM
15870,ALFAMA ROOM 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 36%,FAMILY ROOM
11314,ALFAMA ROOM NONREFUNDABLE,FAMILY ROOM
11860,ALMADA NEGREIROS SUITE KING BD PANORAMIC VIEWS OF THE CITY LOCATED 3RD FLOOR,SUITE
7,ALWAYS ME COURTYARD VIEWS,STANDARD ROOM
6,ALWAYS ME COURTYARD VIEWS    NO REEMBOLSABLE,STANDARD ROOM
8,ALWAYS ME COURTYARD VIEWS   TARIFA EMPAQUETADA,STANDARD ROOM
512,AMBASSADOR SUITE,SUITE
977,APARTAMENTO,APARTMENT
987,APARTAMENTO   ESTANDARD APARTAMENTO STANDARD,STANDARD ROOM
989,APARTAMENTO   ESTANDARD FLEXIBLE RATE,STANDARD ROOM
992,APARTAMENTO   ESTANDARD NO REEMBOLSABLE,STANDARD ROOM
982,APARTAMENTO   ESTANDARD NON REFUNDABLE PREPAID RATE,STANDARD ROOM
993,APARTAMENTO   ESTANDARD OPACA,STANDARD ROOM
994,APARTAMENTO   ESTANDARD OPACA NRF,STANDARD ROOM
1001,APARTAMENTO   ESTANDARD PÚBLICA,STANDARD ROOM
988,APARTAMENTO   ESTANDARD TARIFA FLEXIBLE,STANDARD ROOM
983,APARTAMENTO   ESTANDARD TARIFA PREPAGO NO REEMBOLSABLE,STANDARD ROOM
14968,APARTAMENTO   VISTA CIUDAD,APARTMENT
998,APARTAMENTO   VISTA JARDIN APARTAMENTO VISTAS AL JARDÍN,APARTMENT
13167,APARTAMENTO 1 DORMITORIO,APARTMENT
13094,APARTAMENTO 1 DORMITORIO FAMILIAR,FAMILY ROOM
13231,APARTAMENTO 1 DORMITORIO VISTA CIUDAD,APARTMENT
3405,APARTAMENTO 2 DORMITORIOS,APARTMENT
15039,APARTAMENTO 3 BEDROOMS,APARTMENT
569,APARTAMENTO 3 DORMITORIOS,APARTMENT
13214,APARTAMENTO 4 DORMITORIOS,APARTMENT
13228,APARTAMENTO BALCÓN O TERRAZA 1 DORMITORIO,APARTMENT
15005,APARTAMENTO CAPACIDAD 4,APARTMENT
14272,APARTAMENTO CLASSIC,CLASSIC ROOM
14260,APARTAMENTO CLASSIC    NO REEMBOLSABLE,CLASSIC ROOM
14480,APARTAMENTO COM KITCHENETTE    NO REEMBOLSABLE,APARTMENT
14470,APARTAMENTO COM KITCHENETTE   TARIFA EMPAQUETADA    NO REEMBOLSABLE,APARTMENT
16517,"APARTAMENTO COMFORT, 1 QUARTO 1 CAMA DE CASAL E 1 SOFÁ CAMA INDIVIDUAL + PREÇO PARA MEMBROS: 10%",APARTMENT
16491,"APARTAMENTO COMFORT, 1 QUARTO 1 CAMA DE CASAL E 1 SOFÁ CAMA INDIVIDUAL <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 10%",APARTMENT
16521,"APARTAMENTO COMFORT, 1 QUARTO 1 CAMA DE CASAL E 1 SOFÁ CAMA INDIVIDUAL <U>PACKAGE RATE</U> + PREÇO EXCLUSIVO PARA MEMBROS",APARTMENT
16495,"APARTAMENTO COMFORT, 1 QUARTO 1 CAMA DE CASAL E 1 SOFÁ CAMA INDIVIDUAL <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS",APARTMENT
14753,APARTAMENTO DELUXE,DELUXE ROOM
15051,APARTAMENTO DELUXE 1 BEDROOM,DELUXE ROOM
15738,APARTAMENTO DELUXE 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%,DELUXE ROOM
16608,APARTAMENTO DELUXE 1 CAMA QUEEN SIZE + PREÇO PARA MEMBROS: 10%,DELUXE ROOM
16549,APARTAMENTO DELUXE 1 CAMA QUEEN SIZE <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 10%,DELUXE ROOM
14481,APARTAMENTO DOS CAMAS    NO REEMBOLSABLE,APARTMENT
14473,APARTAMENTO DOS CAMAS   TARIFA EMPAQUETADA    NO REEMBOLSABLE,APARTMENT
14919,APARTAMENTO FAMILIAR,FAMILY ROOM
15827,APARTAMENTO FAMILIAR 1 CAMA QUEEN SIZE <U><I>BED TYPE AREN'T GUARANTEED</I></U> + PROMOÇÃO PRIVADA: POUPE 10%,FAMILY ROOM
15789,APARTAMENTO FAMILIAR 1 CAMA QUEEN SIZE <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%,FAMILY ROOM
15826,APARTAMENTO FAMILIAR 1 SOFÁ CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> + PROMOÇÃO PRIVADA: POUPE 10%,FAMILY ROOM
15791,APARTAMENTO FAMILIAR 1 SOFÁ CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%,FAMILY ROOM
15043,"APARTAMENTO FAMILIAR, 4 HABITACIONES",FAMILY ROOM
14828,APARTAMENTO GARDEN VIEW 1 BEDROOM,APARTMENT
14835,APARTAMENTO GRAND,APARTMENT
14370,APARTAMENTO GRAND    NO REEMBOLSABLE,APARTMENT
14285,APARTAMENTO GRAND DELUXE   TARIFA EMPAQUETADA    NO REEMBOLSABLE,DELUXE ROOM
13077,APARTAMENTO LUJO,APARTMENT
13217,APARTAMENTO LUJO 1 DORMITORIO,APARTMENT
13101,APARTAMENTO LUJO 1 DORMITORIO FAMILIAR,FAMILY ROOM
14946,APARTAMENTO PREMIUM,PREMIUM ROOM
16693,"APARTAMENTO PREMIUM, 1 QUARTO, VISTA PARA A PISCINA 2 CAMAS INDIVIDUAIS E 2 SOFÁS CAMAS INDIVIDUAL <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 22%",PREMIUM ROOM
16686,"APARTAMENTO PREMIUM, 1 QUARTO, VISTA PARA A PISCINA 2 CAMAS INDIVIDUAIS E 2 SOFÁS CAMAS INDIVIDUAL <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS",PREMIUM ROOM
16338,"APARTAMENTO STANDARD, 1 QUARTO 2 CAMAS INDIVIDUAIS + PREÇO PARA MEMBROS: 35%",STANDARD ROOM
16539,"APARTAMENTO STANDARD, 1 QUARTO, TERRAÇO 1 CAMA DE CASAL E 1 SOFÁ CAMA DE CASAL + PREÇO PARA MEMBROS: 10%",STANDARD ROOM
16494,"APARTAMENTO STANDARD, 1 QUARTO, TERRAÇO 1 CAMA DE CASAL E 1 SOFÁ CAMA DE CASAL <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 10%",STANDARD ROOM
16604,"APARTAMENTO STANDARD, 1 QUARTO, TERRAÇO 1 CAMA DE CASAL E 1 SOFÁ CAMA DE CASAL <U>PACKAGE RATE</U> + PREÇO EXCLUSIVO PARA MEMBROS",STANDARD ROOM
16543,"APARTAMENTO STANDARD, 1 QUARTO, TERRAÇO 1 CAMA DE CASAL E 1 SOFÁ CAMA DE CASAL <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS",STANDARD ROOM
15059,APARTAMENTO SUPERIOR,SUPERIOR ROOM
13204,APARTAMENTO SUPERIOR 1 DORMITORIO,SUPERIOR ROOM
16996,APARTAMENTO SUPERIOR 1 DORMITORIO 1 CAMA,SUPERIOR ROOM
14670,APARTAMENTO SUPERIOR 3 DORMITORIOS,SUPERIOR ROOM
15060,APARTAMENTO SUPERIOR TRES DORMITORIOS,SUPERIOR ROOM
14592,"APARTAMENTO SUPERIOR, 1 CAMA DE MATRIMONIO GRANDE, BAÑO PRIVADO",SUPERIOR ROOM
16431,"APARTAMENTO SUPERIOR, 1 CAMA KING SIZE, CASA DE BANHO PRIVATIVA + PROMOÇÃO PRIVADA: POUPE 5%",SUPERIOR ROOM
16650,"APARTAMENTO SUPERIOR, 2 QUARTOS, VISTA PARA O OCEANO 4 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%",SUPERIOR ROOM
14631,APARTAMENTO UN DORMITORIO    NO REEMBOLSABLE,APARTMENT
1000,APARTAMENTO VISTA JARDIN   ESTANDARD FLEXIBLE RATE,STANDARD ROOM
1004,APARTAMENTO VISTA JARDIN   ESTANDARD NO REEMBOLSABLE,STANDARD ROOM
991,APARTAMENTO VISTA JARDIN   ESTANDARD NON REFUNDABLE PREPAID RATE,STANDARD ROOM
1003,APARTAMENTO VISTA JARDIN   ESTANDARD OPACA,STANDARD ROOM
1005,APARTAMENTO VISTA JARDIN   ESTANDARD OPACA NRF,STANDARD ROOM
1009,APARTAMENTO VISTA JARDIN   ESTANDARD PÚBLICA,STANDARD ROOM
999,APARTAMENTO VISTA JARDIN   ESTANDARD TARIFA FLEXIBLE,STANDARD ROOM
990,APARTAMENTO VISTA JARDIN   ESTANDARD TARIFA PREPAGO NO REEMBOLSABLE,STANDARD ROOM
13147,APARTAMENTO VISTA JARDIN 1 DORMITORIO,APARTMENT
978,APARTAMENTO VISTA JARDIN- TARIFA NO REEMBOLSABLE,APARTMENT
16998,APARTAMENTO VISTA MAR 1 DORMITORIO,APARTMENT
16997,APARTAMENTO VISTA MAR CON COCINA 1 DORMITORIO,APARTMENT
13237,APARTAMENTO VISTA PISCINA 1 DORMITORIO PREMIUM,PREMIUM ROOM
975,APARTAMENTO- TARIFA NO REEMBOLSABLE,APARTMENT
14603,"APARTAMENTO, 1 HABITACIÓN",APARTMENT
16368,"APARTAMENTO, 1 QUARTO (2 ADULTOS + 2 CRIANÇAS) 1 CAMA DE CASAL E 1 BELICHE INDIVIDUAL <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%",APARTMENT
16015,"APARTAMENTO, 1 QUARTO 2 CAMAS INDIVIDUAIS E 1 SOFÁ CAMA INDIVIDUAL <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 18%",APARTMENT
16031,"APARTAMENTO, 1 QUARTO 2 CAMAS INDIVIDUAIS E 1 SOFÁ CAMA INDIVIDUAL <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS",APARTMENT
15034,"APARTAMENTO, 2 HABITACIONES",APARTMENT
16703,"APARTAMENTO, 4 QUARTOS 4 CAMAS DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> + PROMOÇÃO PRIVADA: POUPE 10%",APARTMENT
16698,"APARTAMENTO, 4 QUARTOS 4 CAMAS DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%",APARTMENT
16704,"APARTAMENTO, 4 QUARTOS 8 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> + PROMOÇÃO PRIVADA: POUPE 10%",APARTMENT
16697,"APARTAMENTO, 4 QUARTOS 8 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%",APARTMENT
1229,APARTMENT,APARTMENT
13512,APARTMENT   NON REFUNDABLE,APARTMENT
13505,APARTMENT 1 BEDROOM,APARTMENT
14147,APARTMENT 2 BEDROOMS,APARTMENT
13543,APARTMENT 2 BEDROOMS   SUPERIOR +,SUPERIOR ROOM
13539,APARTMENT 2 BEDROOMS +,APARTMENT
1091,APARTMENT 2 BEDROOMS 4 PAX,APARTMENT
14149,APARTMENT 3 ROOMS,APARTMENT
13008,APARTMENT BUNK BED,APARTMENT
12900,APARTMENT CAPACITY 4,APARTMENT
12924,APARTMENT CAPACITY 4 TWO BEDROOMS + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,APARTMENT
12307,APARTMENT CLASSIC,CLASSIC ROOM
13001,APARTMENT DELUXE,DELUXE ROOM
12998,APARTMENT DELUXE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,DELUXE ROOM
12999,APARTMENT DELUXE ONE BEDROOM,DELUXE ROOM
13006,APARTMENT DELUXE SUPERIOR,SUPERIOR ROOM
13002,APARTMENT DELUXE SUPERIOR + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,SUPERIOR ROOM
1392,APARTMENT DUPLEX,APARTMENT
12538,APARTMENT GRAND,APARTMENT
12345,APARTMENT GRAND DELUXE,DELUXE ROOM
12837,APARTMENT ONE BEDROOM,APARTMENT
2133,APARTMENT ONE BEDROOM (2 ADULTS),APARTMENT
2132,APARTMENT ONE BEDROOM (CAPACITY 3),APARTMENT
12880,APARTMENT ONE BEDROOM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,APARTMENT
828,APARTMENT STANDARD,STANDARD ROOM
826,APARTMENT STANDARD + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,STANDARD ROOM
13005,APARTMENT SUPERIOR,SUPERIOR ROOM
13004,APARTMENT SUPERIOR THREE BEDROOMS,SUPERIOR ROOM
12967,APARTMENT THREE BEDROOMS + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,APARTMENT
12981,APARTMENT TWO BEDS,APARTMENT
12825,APARTMENT WITH DOUBLE BED,DOUBLE ROOM
14136,APARTMENT WITH KITCHENETTE WITH BATHROOM,APARTMENT
14135,APARTMENT WITH KITCHENETTE WITH BATHROOM   TARIFA EMPAQUETADA,APARTMENT
1256,"APARTMENT, 1 BEDROOM",APARTMENT
1315,"APARTMENT, 1 BEDROOM, TERRACE",APARTMENT
1319,"APARTMENT, 2 BEDROOMS, TERRACE",APARTMENT
8843,"APARTMENT,1 DOUBLE BED AND 1 QUEEN SOFA BED,NONSMOKING + SAVE10%",DOUBLE ROOM
6738,"APARTMENT,1 QUEEN BED AND 1 DOUBLE SOFA BED,NONSMOKING + PRIVATE SALE",DOUBLE ROOM
6749,"APARTMENT,1 QUEEN BED AND 1 DOUBLE SOFA BED,NONSMOKING + PRIVATE SALE: SAVE 10%",DOUBLE ROOM
6740,"APARTMENT,2 TWIN BEDS AND 1 DOUBLE SOFA BED,NONSMOKING + PRIVATE SALE",DOUBLE ROOM
6746,"APARTMENT,2 TWIN BEDS AND 1 DOUBLE SOFA BED,NONSMOKING + PRIVATE SALE: SAVE 10%",DOUBLE ROOM
13633,APT 1 ROOM (1 PERSON),APARTMENT
